player_augment,augment_name,win_rate,show_rate
1042,恶趣味,0.485243,0.010707
1338,升级：狂妄,0.491533,0.041335
1019,全凭身法,0.483596,0.015809
1341,帽上加帽,0.488831,0.0213
1034,防护面纱,0.493314,0.009209
1112,终极不可阻挡,0.464543,0.009631
1105,家园卫士,0.526404,0.013238
1134,亮出你的剑,0.590822,0.011982
1080,会心防御,0.502862,0.010206
1204,叠角龙,0.529104,0.001182
1344,最终形态,0.497304,0.022632
1391,红包,0.55346,0.028217
1400,最终都市列车,0.531417,0.014855
2026,杀意翻涌,0.486017,0.005257
1318,升级：中娅,0.487456,0.013594
1329,史上最大雪球,0.483089,0.011091
1032,裁决使,0.489514,0.094259
1327,坚若磐石,0.467805,0.009115
1420,咏叹奏鸣,0.549992,0.015424
1314,强力护盾,0.468758,0.006166
1136,扇巴掌,0.504949,0.040689
1321,砍伤,0.488188,0.009982
1036,火上浇油,0.48705,0.019821
1373,缩小引擎,0.525033,0.032977
2003,魄罗之王的弹跳,0.479805,0.00231
12317,潘朵拉的盒子,0.499851,0.000098
1413,和我一起困在这里,0.46825,0.001026
1045,炼狱导管,0.519814,0.033436
1138,渴血,0.511426,0.051979
1301,神圣干预,0.488049,0.013336
1088,终极刷新,0.457782,0.010289
2016,注魔,0.485878,0.003539
1027,大地苏醒,0.48542,0.004771
1414,卡皮巴拉空投,0.444863,0.001771
1415,双生火焰,0.488644,0.012597
2018,纯粹主义者 - 术师,0.469491,0.003823
1022,灵巧,0.512069,0.040194
1150,面包和果酱,0.475428,0.016861
2005,扳机炼狱,0.455286,0.003613
1325,玻璃大炮,0.454501,0.007969
1058,秘术冲拳,0.473122,0.020629
1071,更万用的瞄准镜,0.507363,0.049021
1097,巫师式思考,0.494649,0.031502
1061,回力OK镖,0.518996,0.009703
1386,转得我眩晕了,0.440039,0.000113
1195,巨人杀手,0.540066,0.059719
1085,折磨者,0.476764,0.006872
1346,吸血习性,0.530763,0.114027
1315,快中求稳,0.522656,0.014017
1076,天音爆,0.489162,0.004578
1238,质变：棱彩阶,0.516923,0.060888
1029,虚幻武器,0.486729,0.026901
1404,属性！,0.545262,0.004876
1372,小猫咪找妈妈,0.491837,0.001822
1328,暴击律动,0.504559,0.028297
1026,唯快不破,0.513757,0.006414
1243,质变：混沌,0.505506,0.018569
1390,超凡邪恶,0.507965,0.055037
2004,信念者的强化,0.492128,0.001139
1339,激光治疗,0.474291,0.001667
1006,利刃华尔兹,0.465674,0.012144
1345,心灵净化,0.47755,0.03688
1064,坚韧,0.479319,0.029239
1066,量子计算,0.490076,0.011376
1421,舞会女王,0.511673,0.003386
2001,当心小蛋糕！,0.508987,0.013245
1330,活力再生,0.46888,0.003994
1405,速度恶魔,0.498351,0.016244
1403,属性叠属性！,0.549107,0.008305
1046,炼狱龙魂,0.483343,0.028023
1079,战争交响乐,0.483713,0.017677
1086,精准奇才,0.474375,0.00594
1044,冰寒,0.502856,0.029163
1323,残忍,0.496995,0.01169
1052,闪电打击,0.505983,0.032753
1316,刃下生风,0.486646,0.00829
1056,由心及物,0.518747,0.025132
1379,未知符文_1379,0.45522,0.000187
1141,全心为你,0.481809,0.00561
1180,超强大脑,0.504889,0.013424
1054,物法皆修,0.461454,0.01182
2024,由暴生急,0.467381,0.00385
1317,升级：弯刀,0.419063,0.000384
1013,星界躯体,0.487299,0.033498
2002,虚空裂隙,0.511839,0.008882
