championid,champion_name,player_augment,augment_name,win_rate,show_rate
895,尼菈,1013,星界躯体,0.490772,0.000006
32,阿木木,2002,虚空裂隙,0.5563,0.00006
221,泽丽,1056,由心及物,0.421512,0.000003
91,泰隆,1057,山脉龙魂,0.488642,0.000006
15,希维尔,2010,双发快射,0.497654,0.000163
81,伊泽瑞尔,1062,全能龙魂,0.487411,0.000113
98,慎,1206,魔法转物理,0.480341,0.000036
3,加里奥,1225,双刀流,0.450143,0.000008
498,霞,1057,山脉龙魂,0.522137,0.000009
12,阿利斯塔,2016,注魔,0.47494,0.00001
48,特朗德尔,1397,地狱三头犬,0.473319,0.000042
360,莎弥拉,1319,升级：献祭,0.472072,0.000019
62,孙悟空,2004,信念者的强化,0.445724,0
164,卡蜜尔,1198,圣火,0.420512,0.000006
74,黑默丁格,1195,巨人杀手,0.554374,0.000252
4,崔斯特,1170,万用瞄准镜,0.500265,0.000148
22,艾希,1195,巨人杀手,0.564675,0.000995
429,卡莉丝塔,1068,循环往复,0.465734,0.000019
157,亚索,1084,穿针引线,0.495005,0.000275
6,厄加特,1060,海洋龙魂,0.486796,0.000138
875,瑟提,1051,点亮他们！,0.473818,0.000028
360,莎弥拉,1009,霸符兄弟,0.45014,0.000042
37,娑娜,1225,双刀流,0.438773,0.000004
30,卡尔萨斯,1156,任务：沃格勒特的巫师帽,0.494107,0.000487
67,薇恩,1037,急救用具,0.517165,0
516,奥恩,1018,巨像的勇气,0.459483,0.000358
59,嘉文四世,1996,升级：耀光,0.448306,0.000001
1,安妮,1180,超强大脑,0.498164,0.000112
44,塔里克,1136,扇巴掌,0.500229,0.000137
516,奥恩,1317,升级：弯刀,0.430173,0.000001
950,纳亚菲利,1405,速度恶魔,0.478738,0.000081
99,拉克丝,1404,属性！,0.526642,0.000036
20,努努和威朗普,1080,会心防御,0.448595,0.000024
203,千珏,1330,活力再生,0.473474,0.000066
91,泰隆,1320,升级：收集者,0.498579,0.000546
110,韦鲁斯,1348,闪闪现现,0.442127,0.000018
76,奈德丽,1039,冰霜 幽灵,0.465841,0.000017
36,蒙多医生,1305,练腿日,0.544368,0.000266
84,阿卡丽,1035,感受燃烧,0.464065,0.000017
63,布兰德,1048,珠光护手,0.517875,0.001229
235,赛娜,1080,会心防御,0.470292,0.000295
427,艾翁,2016,注魔,0.47255,0.000003
103,阿狸,1358,弹球,0.510409,0.000064
91,泰隆,1061,回力OK镖,0.550711,0.000035
950,纳亚菲利,1424,???,0.445565,0.000003
121,卡兹克,1181,重量级打击手,0.42866,0.000018
113,瑟庄妮,1220,连拨击锤,0.442756,0.000005
3,加里奥,1409,魄罗爆破手,0.517409,0.00012
350,悠米,1076,天音爆,0.477371,0.000682
267,娜美,1115,最万用的瞄准镜,0.406001,0.000003
92,锐雯,1320,升级：收集者,0.477165,0.000144
41,普朗克,1138,渴血,0.506298,0.00067
420,俄洛伊,1206,魔法转物理,0.480489,0.000132
5,赵信,1324,蛋白粉奶昔,0.455686,0.000091
45,维迦,1392,神圣雪球,0.47321,0.000021
78,波比,1069,退敌力场,0.440359,0.000033
23,泰达米尔,1388,无限循环往复,0.47074,0.000084
60,伊莉丝,1047,关键暴击,0.452768,0.000017
497,洛,1051,点亮他们！,0.407257,0.000002
1,安妮,1403,属性叠属性！,0.548613,0.000018
266,亚托克斯,1170,万用瞄准镜,0.424993,0.000042
164,卡蜜尔,1333,逃跑计划,0.512836,0.000052
78,波比,1057,山脉龙魂,0.478091,0.000163
875,瑟提,1042,恶趣味,0.496132,0.000153
22,艾希,1079,战争交响乐,0.521876,0.000585
887,格温,1050,基石法师,0.522093,0.000019
31,科加斯,1411,升级：荆棘之甲,0.524982,0.00014
145,卡莎,1414,卡皮巴拉空投,0.437951,0.000011
235,赛娜,1134,亮出你的剑,0.457762,0.000165
67,薇恩,1052,闪电打击,0.569898,0.002145
30,卡尔萨斯,1400,最终都市列车,0.555095,0.000379
2,奥拉夫,2007,你肩上的恶魔,0.428696,0.000006
350,悠米,1414,卡皮巴拉空投,0.456155,0.000013
32,阿木木,1156,任务：沃格勒特的巫师帽,0.451961,0.000054
154,扎克,1301,神圣干预,0.444088,0.000091
154,扎克,1345,心灵净化,0.427171,0.000156
804,芸阿娜,1301,神圣干预,0.459151,0.000022
48,特朗德尔,2005,扳机炼狱,0.438889,0.000011
163,塔莉垭,1349,终极唤醒,0.417494,0.000006
236,卢锡安,1403,属性叠属性！,0.576625,0.000105
61,奥莉安娜,1373,缩小引擎,0.555028,0.000164
4,崔斯特,1044,冰寒,0.495766,0.000125
110,韦鲁斯,1349,终极唤醒,0.428729,0.000101
157,亚索,1034,防护面纱,0.487386,0.000052
85,凯南,1406,祖母的辣椒油,0.490308,0.000082
82,莫德凯撒,1062,全能龙魂,0.507562,0.000064
79,古拉加斯,1170,万用瞄准镜,0.437449,0.000008
14,赛恩,1058,秘术冲拳,0.450109,0.000043
31,科加斯,1347,吵闹鬼,0.439829,0.000022
69,卡西奥佩娅,1211,杀戮时间到了,0.456118,0.000074
497,洛,1308,火狐,0.535202,0.000034
233,贝蕾亚,1041,歌利亚巨人,0.55381,0.000135
6,厄加特,1220,连拨击锤,0.428773,0.000195
41,普朗克,1058,秘术冲拳,0.471085,0.000344
202,烬,1347,吵闹鬼,0.466988,0.000054
245,艾克,1088,终极刷新,0.480032,0.000097
29,图奇,1406,祖母的辣椒油,0.463833,0.000152
157,亚索,1208,轨道镭射,0.45896,0.000015
78,波比,1136,扇巴掌,0.493592,0.000459
30,卡尔萨斯,1050,基石法师,0.501494,0.000332
16,索拉卡,1346,吸血习性,0.417293,0.000014
85,凯南,1082,残暴之力,0.419871,0.000005
50,斯维因,1149,不动如山,0.421911,0.000217
526,芮尔,1023,魔鬼之舞,0.544073,0.000033
61,奥莉安娜,1341,帽上加帽,0.480717,0.000305
104,格雷福斯,1392,神圣雪球,0.475406,0.000049
29,图奇,1346,吸血习性,0.530952,0.001154
117,璐璐,1344,最终形态,0.425636,0
523,厄斐琉斯,2006,飞身踢,0.475123,0.000026
72,斯卡纳,1317,升级：弯刀,0.339286,0
804,芸阿娜,1341,帽上加帽,0.475736,0.000005
9,费德提克,1067,古式佳酿,0.46356,0.00006
164,卡蜜尔,1006,利刃华尔兹,0.416046,0.00006
29,图奇,1058,秘术冲拳,0.439764,0.000171
517,塞拉斯,1322,罪恶快感,0.46389,0.000209
79,古拉加斯,1336,升级：无尽之刃,0.494624,0
34,艾尼维亚,2010,双发快射,0.404382,0.000002
10,凯尔,1333,逃跑计划,0.583836,0.00016
164,卡蜜尔,1402,属性叠属性叠属性！,0.494916,0.000009
236,卢锡安,1250,一板一眼,0.45549,0.000434
10,凯尔,1156,任务：沃格勒特的巫师帽,0.539808,0.000108
19,沃里克,1336,升级：无尽之刃,0.432685,0.000016
910,彗,1238,质变：棱彩阶,0.545805,0.000341
33,拉莫斯,1015,死亡之环,0.530864,0
875,瑟提,2007,你肩上的恶魔,0.430234,0.000024
121,卡兹克,1388,无限循环往复,0.489146,0.000169
23,泰达米尔,1007,大力,0.52649,0.000162
136,奥瑞利安·索尔,1004,回归基本功,0.473079,0.000041
111,诺提勒斯,1390,超凡邪恶,0.504627,0.0004
711,薇古丝,1333,逃跑计划,0.552172,0.00006
39,艾瑞莉娅,2010,双发快射,0.433226,0.000006
80,潘森,1402,属性叠属性叠属性！,0.549966,0.000028
245,艾克,1039,冰霜 幽灵,0.522157,0.000033
134,辛德拉,1002,尖端发明家,0.478851,0.000096
67,薇恩,2001,当心小蛋糕！,0.55698,0.000095
29,图奇,1416,海克斯科技龙魂,0.471089,0.000044
238,劫,2010,双发快射,0.459912,0.000016
62,孙悟空,2006,飞身踢,0.499883,0.00023
60,伊莉丝,2003,魄罗之王的弹跳,0.451251,0.000004
427,艾翁,1358,弹球,0.469947,0.000009
51,凯特琳,1403,属性叠属性！,0.574337,0.000084
800,梅尔,1325,玻璃大炮,0.4452,0.000096
9,费德提克,2006,飞身踢,0.459034,0.000022
203,千珏,1079,战争交响乐,0.504924,0.000186
76,奈德丽,1403,属性叠属性！,0.483198,0.00004
35,萨科,1058,秘术冲拳,0.388719,0.000045
147,萨勒芬妮,1180,超强大脑,0.529416,0.000137
240,克烈,1334,升级：雪球,0.475073,0.000025
80,潘森,1042,恶趣味,0.485756,0.000048
35,萨科,1028,侵蚀,0.482391,0.000052
3,加里奥,1070,无休回复,0.50823,0.000142
90,玛尔扎哈,1346,吸血习性,0.553423,0.000692
202,烬,1361,任务：艾卡西亚的陷落,0.418455,0
266,亚托克斯,1056,由心及物,0.394737,0
26,基兰,1373,缩小引擎,0.540272,0.000211
28,伊芙琳,1323,残忍,0.411793,0.000003
91,泰隆,1037,急救用具,0.571429,0
222,金克丝,1039,冰霜 幽灵,0.451359,0.000009
267,娜美,1061,回力OK镖,0.580278,0.000028
246,奇亚娜,1138,渴血,0.495339,0.000146
222,金克丝,1079,战争交响乐,0.516239,0.000584
21,厄运小姐,1056,由心及物,0.510245,0.000174
82,莫德凯撒,0,无符文,0.620727,0.008783
15,希维尔,1415,双生火焰,0.476898,0.000004
16,索拉卡,1068,循环往复,0.476711,0.000127
36,蒙多医生,1056,由心及物,0.445783,0
804,芸阿娜,2024,由暴生急,0.483913,0.000103
897,奎桑提,12317,潘朵拉的盒子,0.408072,0
498,霞,1046,炼狱龙魂,0.508111,0.000055
117,璐璐,1996,升级：耀光,0.43054,0
254,蔚,1181,重量级打击手,0.509246,0.000129
16,索拉卡,1319,升级：献祭,0.46371,0
245,艾克,1402,属性叠属性叠属性！,0.57087,0.000025
51,凯特琳,1149,不动如山,0.450156,0.000006
29,图奇,1046,炼狱龙魂,0.459095,0.000116
14,赛恩,1070,无休回复,0.481442,0.000104
150,纳尔,1056,由心及物,0.319149,0
27,辛吉德,1311,溢流,0.525457,0.000241
6,厄加特,1097,巫师式思考,0.49045,0.000001
31,科加斯,1129,神射法师,0.449745,0.000135
223,塔姆,1424,???,0.444541,0.000014
91,泰隆,1062,全能龙魂,0.533036,0.000039
432,巴德,1414,卡皮巴拉空投,0.39031,0.000005
25,莫甘娜,1115,最万用的瞄准镜,0.451547,0.000014
37,娑娜,1206,魔法转物理,0.32711,0.000003
80,潘森,1205,物理转魔法,0.387687,0.000053
516,奥恩,1053,科学狂人,0.498055,0.000108
119,德莱文,1077,灵魂虹吸,0.498474,0.000339
31,科加斯,1181,重量级打击手,0.503499,0.0011
223,塔姆,1326,夜狩,0.46119,0.000024
555,派克,1391,红包,0.534883,0.00025
11,易,1060,海洋龙魂,0.498714,0.000063
497,洛,1187,闪光弹,0.471855,0.000011
31,科加斯,1149,不动如山,0.457878,0.000508
106,沃利贝尔,1013,星界躯体,0.484422,0.000348
19,沃里克,1098,急急小子,0.446804,0.000018
233,贝蕾亚,1195,巨人杀手,0.546013,0.00015
20,努努和威朗普,1322,罪恶快感,0.452546,0.000012
498,霞,1319,升级：献祭,0.360465,0
902,米利欧,1080,会心防御,0.462003,0.000009
112,维克托,1243,质变：混沌,0.522824,0.000082
517,塞拉斯,1156,任务：沃格勒特的巫师帽,0.513824,0.000332
76,奈德丽,1052,闪电打击,0.382507,0.00001
555,派克,1066,量子计算,0.547018,0.000193
145,卡莎,1338,升级：狂妄,0.463042,0.000274
41,普朗克,1070,无休回复,0.501941,0.000036
141,凯隐,1037,急救用具,0.536135,0.000135
85,凯南,1375,吞噬灵魂,0.475631,0.000046
60,伊莉丝,1243,质变：混沌,0.490435,0.000033
90,玛尔扎哈,1013,星界躯体,0.50294,0.000019
20,努努和威朗普,2002,虚空裂隙,0.471223,0.000022
57,茂凯,1349,终极唤醒,0.484199,0.000048
72,斯卡纳,2002,虚空裂隙,0.47315,0.000003
142,佐伊,1066,量子计算,0.477839,0.000021
68,兰博,1332,不祥契约,0.491893,0.000147
54,墨菲特,1334,升级：雪球,0.483885,0.000303
69,卡西奥佩娅,1996,升级：耀光,0.432941,0
58,雷克顿,1326,夜狩,0.440275,0.000124
222,金克丝,1075,慢炖,0.443404,0.000012
429,卡莉丝塔,1057,山脉龙魂,0.510888,0.000006
29,图奇,1074,缩小射线,0.46763,0.000401
421,雷克塞,1080,会心防御,0.490446,0.000012
44,塔里克,1007,大力,0.467703,0.000002
19,沃里克,1038,有始有终,0.470999,0.000017
21,厄运小姐,1058,秘术冲拳,0.451361,0.000278
17,提莫,1310,小丑学院,0.510083,0.000077
166,阿克尚,1329,史上最大雪球,0.450225,0.000023
267,娜美,1384,捐赠,0.519934,0.000037
112,维克托,1341,帽上加帽,0.505069,0.000353
516,奥恩,1308,火狐,0.477677,0.000038
81,伊泽瑞尔,1346,吸血习性,0.497289,0.001294
76,奈德丽,1082,残暴之力,0.405728,0.000008
107,雷恩加尔,1032,裁决使,0.473901,0.0005
19,沃里克,1333,逃跑计划,0.509988,0.000059
81,伊泽瑞尔,1324,蛋白粉奶昔,0.398175,0.000003
126,杰斯,1070,无休回复,0.503647,0.000059
24,贾克斯,1195,巨人杀手,0.55323,0.000252
154,扎克,1195,巨人杀手,0.438014,0.000028
163,塔莉垭,1205,物理转魔法,0.486875,0.000325
90,玛尔扎哈,1195,巨人杀手,0.601267,0.000507
799,安蓓萨,1156,任务：沃格勒特的巫师帽,0.533512,0
113,瑟庄妮,1152,任务：钢化你心,0.523791,0.001312
157,亚索,2005,扳机炼狱,0.47782,0.000037
266,亚托克斯,1077,灵魂虹吸,0.432491,0.000244
43,卡尔玛,1028,侵蚀,0.466707,0.000033
55,卡特琳娜,1035,感受燃烧,0.462684,0.000042
154,扎克,1390,超凡邪恶,0.448552,0.000228
45,维迦,1039,冰霜 幽灵,0.500715,0.000031
16,索拉卡,2024,由暴生急,0.465263,0.000002
142,佐伊,1092,易损,0.44602,0.00006
154,扎克,1402,属性叠属性叠属性！,0.470752,0.000012
222,金克丝,2018,纯粹主义者 - 术师,0.449563,0.000007
154,扎克,1388,无限循环往复,0.461249,0.000084
59,嘉文四世,1037,急救用具,0.471789,0.000124
161,维克兹,2009,狂热者,0.485255,0.000021
203,千珏,1317,升级：弯刀,0.399775,0.000002
35,萨科,2018,纯粹主义者 - 术师,0.470218,0.000033
266,亚托克斯,1118,会心治疗,0.447426,0.000448
875,瑟提,1087,台风,0.479977,0.000062
3,加里奥,1208,轨道镭射,0.48678,0.000028
3,加里奥,1034,防护面纱,0.482428,0.00005
268,阿兹尔,1075,慢炖,0.414748,0.000005
103,阿狸,1107,接二连三,0.433913,0.000005
201,布隆,1013,星界躯体,0.48801,0.000554
114,菲奥娜,1379,未知符文_1379,0.4,0
96,克格莫,1319,升级：献祭,0.433735,0
53,布里茨,1379,未知符文_1379,0.411765,0
235,赛娜,1048,珠光护手,0.433049,0.000259
32,阿木木,1045,炼狱导管,0.522156,0.000206
56,魔腾,1025,俯冲轰炸,0.556009,0.000186
236,卢锡安,1030,尤里卡,0.424152,0.000026
904,未知英雄_904,1319,升级：献祭,0.564975,0.000059
67,薇恩,1225,双刀流,0.661911,0.002058
266,亚托克斯,1098,急急小子,0.457377,0.000061
54,墨菲特,1072,炽烈黎明,0.455464,0.000067
99,拉克丝,1067,古式佳酿,0.489637,0.00013
133,奎因,1152,任务：钢化你心,0.437102,0.00003
105,菲兹,1337,尊我为王,0.543419,0.000072
33,拉莫斯,1349,终极唤醒,0.418686,0.000011
122,德莱厄斯,1149,不动如山,0.464407,0.00015
40,迦娜,1397,地狱三头犬,0.410397,0.000002
888,烈娜塔,1067,古式佳酿,0.524343,0.000039
14,赛恩,1206,魔法转物理,0.480948,0.000078
114,菲奥娜,1082,残暴之力,0.509133,0.000145
39,艾瑞莉娅,1323,残忍,0.407874,0.000004
518,妮蔻,1116,闪现向前,0.472281,0.000037
80,潘森,1018,巨像的勇气,0.469106,0.000042
800,梅尔,1308,火狐,0.538421,0.00021
221,泽丽,1311,溢流,0.426888,0.000015
103,阿狸,1313,作弊：我能回城！,0.518773,0.000179
104,格雷福斯,1038,有始有终,0.553385,0.00025
83,约里克,1107,接二连三,0.438068,0.000015
888,烈娜塔,1068,循环往复,0.536022,0.000109
166,阿克尚,1325,玻璃大炮,0.424272,0.000022
78,波比,1074,缩小射线,0.444316,0.000029
34,艾尼维亚,1344,最终形态,0.509665,0.000009
19,沃里克,1323,残忍,0.443343,0.000009
58,雷克顿,1067,古式佳酿,0.471912,0.000128
121,卡兹克,1103,面包和黄油,0.434597,0.000147
38,卡萨丁,1041,歌利亚巨人,0.505745,0.000038
27,辛吉德,1020,黎明使者的坚决,0.539416,0.00016
59,嘉文四世,1301,神圣干预,0.486594,0.000213
79,古拉加斯,1324,蛋白粉奶昔,0.454323,0.000138
497,洛,1058,秘术冲拳,0.422399,0.000003
15,希维尔,1048,珠光护手,0.475896,0.000066
233,贝蕾亚,1058,秘术冲拳,0.536592,0.000205
82,莫德凯撒,2018,纯粹主义者 - 术师,0.437387,0.00002
131,黛安娜,1087,台风,0.468433,0.000006
427,艾翁,1141,全心为你,0.490072,0.00011
51,凯特琳,1342,雪球扭蛋机,0.468732,0.000032
360,莎弥拉,1225,双刀流,0.430807,0.000138
30,卡尔萨斯,1220,连拨击锤,0.433933,0.000008
110,韦鲁斯,1047,关键暴击,0.466824,0.000194
11,易,1116,闪现向前,0.490368,0.000031
142,佐伊,1181,重量级打击手,0.41729,0.000003
4,崔斯特,1113,老练狙神,0.527212,0.001064
897,奎桑提,1320,升级：收集者,0.388872,0.000009
122,德莱厄斯,1066,量子计算,0.492047,0.00017
106,沃利贝尔,1333,逃跑计划,0.523769,0.00008
432,巴德,1151,面包和奶酪,0.357175,0.000003
40,迦娜,1032,裁决使,0.507919,0.000072
14,赛恩,1035,感受燃烧,0.513411,0.000053
106,沃利贝尔,1327,坚若磐石,0.457253,0.0001
57,茂凯,1397,地狱三头犬,0.445269,0.000007
360,莎弥拉,1315,快中求稳,0.488118,0.000311
69,卡西奥佩娅,1198,圣火,0.472674,0.000028
131,黛安娜,1403,属性叠属性！,0.539125,0.00004
200,卑尔维斯,1392,神圣雪球,0.421294,0.000012
147,萨勒芬妮,1051,点亮他们！,0.521856,0.000062
234,佛耶戈,1009,霸符兄弟,0.491625,0.000033
142,佐伊,1116,闪现向前,0.477497,0.000018
11,易,1250,一板一眼,0.393395,0.000114
79,古拉加斯,1402,属性叠属性叠属性！,0.504465,0.000016
77,乌迪尔,1092,易损,0.503609,0.000459
200,卑尔维斯,1409,魄罗爆破手,0.432663,0.000018
50,斯维因,1347,吵闹鬼,0.41157,0.000021
92,锐雯,1238,质变：棱彩阶,0.542537,0.000256
68,兰博,1105,家园卫士,0.537427,0.000041
82,莫德凯撒,1346,吸血习性,0.49782,0.001074
518,妮蔻,1250,一板一眼,0.402966,0.000011
90,玛尔扎哈,1409,魄罗爆破手,0.550437,0.000307
29,图奇,1317,升级：弯刀,0.142857,0
45,维迦,1373,缩小引擎,0.558673,0.000443
266,亚托克斯,1057,山脉龙魂,0.443109,0.000024
134,辛德拉,1026,唯快不破,0.543731,0.000023
96,克格莫,1154,任务：海牛阿福的勇士,0.530521,0.000036
40,迦娜,1195,巨人杀手,0.518605,0.000044
77,乌迪尔,1384,捐赠,0.507947,0.000214
18,崔丝塔娜,1086,精准奇才,0.44037,0.000017
18,崔丝塔娜,1397,地狱三头犬,0.487921,0.000238
33,拉莫斯,1379,未知符文_1379,0.5,0
53,布里茨,1058,秘术冲拳,0.42863,0.000067
96,克格莫,1424,???,0.467492,0.000006
7,乐芙兰,1046,炼狱龙魂,0.437638,0.000112
134,辛德拉,1116,闪现向前,0.507182,0.000018
427,艾翁,1051,点亮他们！,0.422309,0.000003
50,斯维因,1204,叠角龙,0.44711,0.000117
163,塔莉垭,2007,你肩上的恶魔,0.424857,0.000005
84,阿卡丽,2026,杀意翻涌,0.434478,0.000045
91,泰隆,1133,魔法飞弹,0.459664,0.000026
89,蕾欧娜,2007,你肩上的恶魔,0.354387,0.000003
523,厄斐琉斯,1026,唯快不破,0.531132,0.000023
119,德莱文,1336,升级：无尽之刃,0.50416,0.000407
5,赵信,1301,神圣干预,0.479636,0.00009
7,乐芙兰,1034,防护面纱,0.447341,0.000077
142,佐伊,2016,注魔,0.451651,0.000024
42,库奇,1301,神圣干预,0.464775,0.000037
498,霞,1020,黎明使者的坚决,0.519184,0.000017
222,金克丝,1086,精准奇才,0.470167,0.000028
246,奇亚娜,1313,作弊：我能回城！,0.475517,0.000062
114,菲奥娜,1342,雪球扭蛋机,0.516794,0.000068
121,卡兹克,1424,???,0.459268,0.000007
22,艾希,1071,更万用的瞄准镜,0.548244,0.001782
15,希维尔,1057,山脉龙魂,0.481712,0.000009
104,格雷福斯,1045,炼狱导管,0.456433,0.000025
101,泽拉斯,1056,由心及物,0.491866,0.000333
711,薇古丝,1077,灵魂虹吸,0.479154,0.000023
9,费德提克,1075,慢炖,0.43617,0.000015
75,内瑟斯,1404,属性！,0.513524,0.000023
72,斯卡纳,1314,强力护盾,0.438159,0.000077
421,雷克塞,2001,当心小蛋糕！,0.495385,0.000019
59,嘉文四世,1007,大力,0.50299,0.000275
117,璐璐,1074,缩小射线,0.428906,0.000029
497,洛,1080,会心防御,0.447785,0.000005
75,内瑟斯,2003,魄罗之王的弹跳,0.467527,0.00001
245,艾克,1336,升级：无尽之刃,0.459893,0
39,艾瑞莉娅,1375,吞噬灵魂,0.42314,0.000025
800,梅尔,1069,退敌力场,0.462182,0.000083
145,卡莎,1108,自我毁灭,0.47219,0.000017
555,派克,2026,杀意翻涌,0.475374,0.000193
54,墨菲特,1138,渴血,0.471654,0.000054
50,斯维因,1337,尊我为王,0.469569,0.000043
147,萨勒芬妮,1322,罪恶快感,0.513166,0.000013
12,阿利斯塔,1195,巨人杀手,0.49261,0.000068
799,安蓓萨,1129,神射法师,0.378538,0.000002
203,千珏,1414,卡皮巴拉空投,0.439134,0.000004
114,菲奥娜,1092,易损,0.470248,0.000041
876,莉莉娅,1079,战争交响乐,0.524894,0.000015
56,魔腾,1108,自我毁灭,0.545043,0.000086
50,斯维因,1108,自我毁灭,0.433294,0.000162
11,易,1386,转得我眩晕了,0.454933,0.000001
201,布隆,1310,小丑学院,0.481057,0.000021
22,艾希,1034,防护面纱,0.523392,0.000095
106,沃利贝尔,1050,基石法师,0.441999,0.000019
31,科加斯,1062,全能龙魂,0.510018,0.000108
142,佐伊,1391,红包,0.513366,0.000125
887,格温,1198,圣火,0.522074,0.00002
104,格雷福斯,1050,基石法师,0.495889,0.000006
517,塞拉斯,1375,吞噬灵魂,0.466405,0.000236
54,墨菲特,1068,循环往复,0.486055,0.000599
84,阿卡丽,1025,俯冲轰炸,0.479816,0.000108
202,烬,1081,踢踏舞,0.453128,0.000752
53,布里茨,1403,属性叠属性！,0.497244,0.00006
92,锐雯,1019,全凭身法,0.542644,0.000604
432,巴德,1339,激光治疗,0.393734,0.000025
876,莉莉娅,1390,超凡邪恶,0.623897,0.00105
518,妮蔻,1402,属性叠属性叠属性！,0.498379,0.000013
61,奥莉安娜,1195,巨人杀手,0.541293,0.000344
21,厄运小姐,1079,战争交响乐,0.44848,0.000174
90,玛尔扎哈,1392,神圣雪球,0.50063,0.000019
56,魔腾,1154,任务：海牛阿福的勇士,0.511115,0.000027
799,安蓓萨,1996,升级：耀光,0.384516,0
81,伊泽瑞尔,1344,最终形态,0.454615,0.000001
89,蕾欧娜,1035,感受燃烧,0.51058,0.000038
126,杰斯,2026,杀意翻涌,0.461439,0.00002
32,阿木木,1037,急救用具,0.478261,0
26,基兰,1086,精准奇才,0.477648,0.000021
235,赛娜,1375,吞噬灵魂,0.519138,0.000263
96,克格莫,1082,残暴之力,0.472891,0.000034
234,佛耶戈,1034,防护面纱,0.482475,0.000059
19,沃里克,1411,升级：荆棘之甲,0.492822,0.000015
24,贾克斯,1105,家园卫士,0.524789,0.00003
10,凯尔,1313,作弊：我能回城！,0.51156,0.000192
59,嘉文四世,1321,砍伤,0.475942,0.000231
497,洛,1011,你摸不到,0.441541,0.000012
420,俄洛伊,1243,质变：混沌,0.48199,0.000101
6,厄加特,1069,退敌力场,0.428059,0.000031
141,凯隐,1325,玻璃大炮,0.488811,0.000034
555,派克,1112,终极不可阻挡,0.450465,0.000125
238,劫,1237,质变：黄金阶,0.537594,0.000232
85,凯南,1085,折磨者,0.455632,0.000023
12,阿利斯塔,1088,终极刷新,0.446564,0.000044
75,内瑟斯,2016,注魔,0.470995,0.000015
21,厄运小姐,1308,火狐,0.525944,0.00011
29,图奇,1305,练腿日,0.490976,0.00013
421,雷克塞,1361,任务：艾卡西亚的陷落,0.556506,0.00001
21,厄运小姐,2018,纯粹主义者 - 术师,0.497801,0.000107
69,卡西奥佩娅,1181,重量级打击手,0.42034,0.000004
904,未知英雄_904,1133,魔法飞弹,0.489207,0.000027
526,芮尔,0,无符文,0.720587,0.005898
142,佐伊,1076,天音爆,0.352273,0
8,弗拉基米尔,1409,魄罗爆破手,0.437842,0.000059
3,加里奥,1220,连拨击锤,0.454719,0.00001
115,吉格斯,1334,升级：雪球,0.496956,0.000082
523,厄斐琉斯,1046,炼狱龙魂,0.493103,0.000053
68,兰博,1097,巫师式思考,0.520938,0.000538
69,卡西奥佩娅,2026,杀意翻涌,0.472823,0.000008
