aug_a,aug_a_name,aug_b,aug_b_name,pair_win_rate,pair_show_rate
1018,巨像的勇气,1057,山脉龙魂,0.45379,0.000227
1074,缩小射线,2026,杀意翻涌,0.452208,0.000063
0,无符文,1356,暴击飞弹,0.616934,0.012154
1058,秘术冲拳,1150,面包和果酱,0.448661,0.000258
1006,利刃华尔兹,1181,重量级打击手,0.502731,0.000327
1046,炼狱龙魂,1384,捐赠,0.514631,0.000431
1085,折磨者,1424,???,0.442256,0.000006
1069,退敌力场,1346,吸血习性,0.488104,0.000402
1379,未知符文_1379,1411,升级：荆棘之甲,0.428571,0.000001
1149,不动如山,1353,坦克引擎,0.48287,0.002469
1007,大力,1051,点亮他们！,0.514517,0.000125
1020,黎明使者的坚决,1390,超凡邪恶,0.492374,0.000175
1058,秘术冲拳,1080,会心防御,0.49249,0.000227
1006,利刃华尔兹,1346,吸血习性,0.489925,0.001419
1026,唯快不破,1151,面包和奶酪,0.504165,0.000111
1011,你摸不到,1349,终极唤醒,0.456234,0.000169
1187,闪光弹,1402,属性叠属性叠属性！,0.521531,0
1035,感受燃烧,1105,家园卫士,0.515384,0.000085
1070,无休回复,1113,老练狙神,0.503976,0.000215
1326,夜狩,1334,升级：雪球,0.4592,0.000209
1052,闪电打击,1424,???,0.457379,0.000019
1002,尖端发明家,1391,红包,0.501282,0.000333
1038,有始有终,1097,巫师式思考,0.512368,0.00188
1327,坚若磐石,1338,升级：狂妄,0.445725,0.000061
1053,科学狂人,1327,坚若磐石,0.487451,0.000117
1208,轨道镭射,1211,杀戮时间到了,0.471076,0.000074
1045,炼狱导管,1092,易损,0.533604,0.001179
1397,地狱三头犬,1420,咏叹奏鸣,0.488202,0.000048
1323,残忍,1406,祖母的辣椒油,0.51255,0.00035
1058,秘术冲拳,1205,物理转魔法,0.442424,0.000248
1079,战争交响乐,1330,活力再生,0.447911,0.000118
1027,大地苏醒,2016,注魔,0.473769,0.000007
1062,全能龙魂,1314,强力护盾,0.484252,0.000056
1057,山脉龙魂,1329,史上最大雪球,0.462505,0.000105
1318,升级：中娅,1403,属性叠属性！,0.511527,0.000076
1041,歌利亚巨人,1052,闪电打击,0.490327,0.000452
1029,虚幻武器,1156,任务：沃格勒特的巫师帽,0.503532,0.000358
1019,全凭身法,1416,海克斯科技龙魂,0.463806,0.00005
1039,冰霜 幽灵,1067,古式佳酿,0.472309,0.000411
1018,巨像的勇气,1047,关键暴击,0.433387,0.000029
1113,老练狙神,1345,心灵净化,0.46982,0.000963
1400,最终都市列车,1409,魄罗爆破手,0.514602,0.000383
1071,更万用的瞄准镜,1076,天音爆,0.462823,0.000035
1011,你摸不到,1330,活力再生,0.425935,0.000014
1375,吞噬灵魂,1421,舞会女王,0.493977,0.000164
1322,罪恶快感,1323,残忍,0.468249,0.00005
1118,会心治疗,1329,史上最大雪球,0.457467,0.000203
1250,一板一眼,1372,小猫咪找妈妈,0.409902,0.000001
1108,自我毁灭,2006,飞身踢,0.487902,0.000369
1338,升级：狂妄,1353,坦克引擎,0.490544,0.001342
1084,穿针引线,1238,质变：棱彩阶,0.497198,0.002468
1421,舞会女王,2010,双发快射,0.488077,0.000009
1011,你摸不到,1057,山脉龙魂,0.434996,0.000042
1333,逃跑计划,1424,???,0.496195,0.000017
1058,秘术冲拳,1332,不祥契约,0.449684,0.000065
1085,折磨者,1996,升级：耀光,0.453111,0.000015
1013,星界躯体,1075,慢炖,0.525795,0.002612
1009,霸符兄弟,1397,地狱三头犬,0.483454,0.000091
1113,老练狙神,1327,坚若磐石,0.458813,0.000107
12317,潘朵拉的盒子,1403,属性叠属性！,0.556163,0.000002
1349,终极唤醒,1406,祖母的辣椒油,0.499707,0.000136
1149,不动如山,1316,刃下生风,0.440631,0.000018
1116,闪现向前,1397,地狱三头犬,0.454583,0.000031
1341,帽上加帽,2006,飞身踢,0.470433,0.000094
1060,海洋龙魂,1095,风语者的祝福,0.511453,0.000119
1181,重量级打击手,1324,蛋白粉奶昔,0.484133,0.000963
1023,魔鬼之舞,1039,冰霜 幽灵,0.488925,0.000182
1034,防护面纱,1333,逃跑计划,0.534184,0.000196
1057,山脉龙魂,1220,连拨击锤,0.45072,0.000044
1086,精准奇才,2018,纯粹主义者 - 术师,0.45385,0.000036
1134,亮出你的剑,1327,坚若磐石,0.509031,0.000007
1388,无限循环往复,1390,超凡邪恶,0.528412,0.005732
1353,坦克引擎,1392,神圣雪球,0.444893,0.000139
1104,仆从大师,2016,注魔,0.481667,0.000007
1032,裁决使,1414,卡皮巴拉空投,0.435751,0.000124
1187,闪光弹,1341,帽上加帽,0.461346,0.000028
1112,终极不可阻挡,1310,小丑学院,0.510915,0.00025
1056,由心及物,1062,全能龙魂,0.532558,0.000194
1087,台风,1379,未知符文_1379,0.484359,0.000005
1341,帽上加帽,1372,小猫咪找妈妈,0.466329,0.000031
1318,升级：中娅,2001,当心小蛋糕！,0.491132,0.000167
1029,虚幻武器,1205,物理转魔法,0.475087,0.001184
1098,急急小子,1118,会心治疗,0.464605,0.000168
1051,点亮他们！,2006,飞身踢,0.475579,0.000095
1082,残暴之力,1400,最终都市列车,0.533341,0.00019
1032,裁决使,1413,和我一起困在这里,0.461333,0.000083
1011,你摸不到,1104,仆从大师,0.461624,0.000013
1085,折磨者,1335,夺金,0.467639,0.000035
1006,利刃华尔兹,1356,暴击飞弹,0.44774,0.000038
1070,无休回复,1411,升级：荆棘之甲,0.535799,0.00004
1061,回力OK镖,1344,最终形态,0.509729,0.000097
1314,强力护盾,1411,升级：荆棘之甲,0.50766,0.000028
1405,速度恶魔,1421,舞会女王,0.513054,0.000065
1149,不动如山,1402,属性叠属性叠属性！,0.479094,0.000023
1034,防护面纱,1150,面包和果酱,0.4738,0.000152
1041,歌利亚巨人,1077,灵魂虹吸,0.491969,0.000457
1337,尊我为王,1400,最终都市列车,0.552964,0.000051
1420,咏叹奏鸣,2007,你肩上的恶魔,0.471908,0.000035
1061,回力OK镖,2026,杀意翻涌,0.512708,0.000027
1076,天音爆,1320,升级：收集者,0.431871,0.000009
1337,尊我为王,1375,吞噬灵魂,0.518036,0.000077
1334,升级：雪球,1384,捐赠,0.506056,0.000234
1034,防护面纱,1056,由心及物,0.501553,0.000142
1315,快中求稳,1327,坚若磐石,0.472857,0.000063
1058,秘术冲拳,2007,你肩上的恶魔,0.447477,0.000022
1149,不动如山,1420,咏叹奏鸣,0.504139,0.000147
1170,万用瞄准镜,2024,由暴生急,0.453447,0.0001
1151,面包和奶酪,1411,升级：荆棘之甲,0.50034,0.000031
1084,穿针引线,1328,暴击律动,0.485775,0.001212
1071,更万用的瞄准镜,1187,闪光弹,0.49789,0.00013
1048,珠光护手,1392,神圣雪球,0.44691,0.000077
1057,山脉龙魂,2002,虚空裂隙,0.477081,0.000028
1007,大力,1384,捐赠,0.553176,0.000226
1063,狂徒豪气,1250,一板一眼,0.498923,0.000264
1107,接二连三,1317,升级：弯刀,0.411486,0.000009
1097,巫师式思考,1225,双刀流,0.499956,0.000115
1105,家园卫士,1329,史上最大雪球,0.506809,0.000131
1353,坦克引擎,1402,属性叠属性叠属性！,0.492108,0.000163
1085,折磨者,1088,终极刷新,0.443412,0.000072
1029,虚幻武器,1225,双刀流,0.514878,0.000698
1054,物法皆修,1321,砍伤,0.475238,0.000061
1225,双刀流,1332,不祥契约,0.502449,0.000069
1136,扇巴掌,1206,魔法转物理,0.505693,0.000284
1020,黎明使者的坚决,1061,回力OK镖,0.490654,0.000049
1053,科学狂人,1204,叠角龙,0.54784,0.000018
1057,山脉龙魂,1326,夜狩,0.446478,0.000054
1333,逃跑计划,2016,注魔,0.511344,0.000022
1372,小猫咪找妈妈,1373,缩小引擎,0.533793,0.000036
1069,退敌力场,1344,最终形态,0.437958,0.000088
1079,战争交响乐,1329,史上最大雪球,0.452712,0.000099
1030,尤里卡,1204,叠角龙,0.559222,0.000062
1152,任务：钢化你心,1237,质变：黄金阶,0.50148,0.000841
1028,侵蚀,1402,属性叠属性叠属性！,0.517813,0.000025
1141,全心为你,1243,质变：混沌,0.465051,0.000071
1321,砍伤,1390,超凡邪恶,0.474629,0.000121
1064,坚韧,1319,升级：献祭,0.487908,0.001143
1332,不祥契约,1341,帽上加帽,0.472355,0.000326
1063,狂徒豪气,1104,仆从大师,0.479876,0.000012
1041,歌利亚巨人,1348,闪闪现现,0.462436,0.000076
1194,精怪魔法,1349,终极唤醒,0.456871,0.000157
1064,坚韧,1198,圣火,0.453124,0.000316
1333,逃跑计划,1347,吵闹鬼,0.517412,0.000065
1237,质变：黄金阶,1334,升级：雪球,0.502658,0.000333
1070,无休回复,1208,轨道镭射,0.481567,0.000029
1018,巨像的勇气,1098,急急小子,0.452253,0.000046
1002,尖端发明家,1023,魔鬼之舞,0.496053,0.000366
1318,升级：中娅,1337,尊我为王,0.522666,0.000061
1036,火上浇油,1384,捐赠,0.507793,0.000206
1034,防护面纱,1194,精怪魔法,0.471582,0.00008
1331,至高天诺言,2003,魄罗之王的弹跳,1,0
1030,尤里卡,1327,坚若磐石,0.472196,0.000243
1041,歌利亚巨人,1118,会心治疗,0.482266,0.001632
1180,超强大脑,1391,红包,0.559226,0.000169
1129,神射法师,1151,面包和奶酪,0.480445,0.000475
1320,升级：收集者,1373,缩小引擎,0.483,0.000814
1405,速度恶魔,1409,魄罗爆破手,0.501443,0.000499
1027,大地苏醒,1080,会心防御,0.504426,0.000037
1072,炽烈黎明,2001,当心小蛋糕！,0.481222,0.000027
1154,任务：海牛阿福的勇士,1250,一板一眼,0.478992,0.000132
1095,风语者的祝福,1424,???,0.52649,0.000003
1053,科学狂人,1068,循环往复,0.530202,0.000363
1133,魔法飞弹,1321,砍伤,0.460737,0.000099
1316,刃下生风,1336,升级：无尽之刃,0.48349,0.000203
1013,星界躯体,1052,闪电打击,0.468569,0.000183
1075,慢炖,1405,速度恶魔,0.494774,0.000173
1023,魔鬼之舞,1085,折磨者,0.472717,0.000059
1019,全凭身法,1061,回力OK镖,0.493601,0.000057
1301,神圣干预,1386,转得我眩晕了,0.443633,0.000002
1151,面包和奶酪,1250,一板一眼,0.477203,0.000331
1053,科学狂人,1373,缩小引擎,0.541004,0.00021
1088,终极刷新,1332,不祥契约,0.455453,0.000066
1026,唯快不破,1211,杀戮时间到了,0.493612,0.000168
1088,终极刷新,1181,重量级打击手,0.465901,0.000246
1095,风语者的祝福,1358,弹球,0.466744,0.00002
1092,易损,1170,万用瞄准镜,0.481297,0.0005
1332,不祥契约,1413,和我一起困在这里,0.443044,0.000002
0,无符文,1028,侵蚀,0.586035,0.012117
1068,循环往复,1373,缩小引擎,0.509763,0.000622
1134,亮出你的剑,1373,缩小引擎,0.571705,0.000213
1056,由心及物,1133,魔法飞弹,0.522258,0.002037
1056,由心及物,1361,任务：艾卡西亚的陷落,0.540418,0.00009
1141,全心为你,1404,属性！,0.497542,0.000011
1187,闪光弹,12317,潘朵拉的盒子,0.606838,0
1080,会心防御,1081,踢踏舞,0.506732,0.000215
1009,霸符兄弟,1405,速度恶魔,0.515935,0.000116
1097,巫师式思考,1348,闪闪现现,0.459165,0.000055
1088,终极刷新,1195,巨人杀手,0.501357,0.000288
1069,退敌力场,1134,亮出你的剑,0.511372,0.000044
1320,升级：收集者,1331,至高天诺言,0.399772,0.000004
1080,会心防御,1335,夺金,0.49304,0.000044
1138,渴血,1317,升级：弯刀,0.443654,0.000016
1074,缩小射线,1301,神圣干预,0.442174,0.000142
1116,闪现向前,1421,舞会女王,0.498772,0.000019
1075,慢炖,1313,作弊：我能回城！,0.511375,0.000776
1070,无休回复,1237,质变：黄金阶,0.50995,0.000202
1095,风语者的祝福,1397,地狱三头犬,0.464966,0.000022
1414,卡皮巴拉空投,2009,狂热者,0.437512,0.000021
1361,任务：艾卡西亚的陷落,1403,属性叠属性！,0.556479,0.000047
1072,炽烈黎明,1384,捐赠,0.500728,0.000049
1044,冰寒,1330,活力再生,0.441213,0.000019
1048,珠光护手,1313,作弊：我能回城！,0.482889,0.001338
1034,防护面纱,12317,潘朵拉的盒子,0.501575,0
1027,大地苏醒,1098,急急小子,0.477081,0.000036
1036,火上浇油,1404,属性！,0.515183,0.000046
1151,面包和奶酪,1372,小猫咪找妈妈,0.495118,0.000047
1018,巨像的勇气,1056,由心及物,0.466792,0.000274
1085,折磨者,1087,台风,0.438885,0.000014
1020,黎明使者的坚决,1195,巨人杀手,0.52743,0.000255
1045,炼狱导管,2004,信念者的强化,0.470556,0.000012
1220,连拨击锤,1315,快中求稳,0.514489,0.000165
1054,物法皆修,1420,咏叹奏鸣,0.490109,0.00007
1045,炼狱导管,1313,作弊：我能回城！,0.51761,0.000934
1006,利刃华尔兹,1030,尤里卡,0.475294,0.000109
1243,质变：混沌,1424,???,0.458439,0.000005
1195,巨人杀手,1329,史上最大雪球,0.516149,0.000265
1194,精怪魔法,1328,暴击律动,0.461008,0.000113
1011,你摸不到,1116,闪现向前,0.445369,0.000026
1996,升级：耀光,2006,飞身踢,0.482998,0.000117
1379,未知符文_1379,2016,注魔,0.442228,0.000001
1424,???,2016,注魔,0.450263,0.000007
1301,神圣干预,1406,祖母的辣椒油,0.521039,0.000221
1138,渴血,1301,神圣干预,0.478888,0.000318
1198,圣火,1347,吵闹鬼,0.44316,0.000017
1082,残暴之力,1356,暴击飞弹,0.487302,0.00009
1087,台风,1334,升级：雪球,0.448217,0.000117
1103,面包和黄油,1327,坚若磐石,0.455454,0.000222
1341,帽上加帽,1404,属性！,0.548403,0.000057
1208,轨道镭射,1316,刃下生风,0.451708,0.000011
1023,魔鬼之舞,1136,扇巴掌,0.508045,0.000332
1071,更万用的瞄准镜,1397,地狱三头犬,0.485872,0.000866
1151,面包和奶酪,1319,升级：献祭,0.472575,0.000155
1071,更万用的瞄准镜,1336,升级：无尽之刃,0.531399,0.00219
1071,更万用的瞄准镜,2008,负重爆气,0.472852,0.000246
1044,冰寒,1195,巨人杀手,0.548524,0.001702
1026,唯快不破,1154,任务：海牛阿福的勇士,0.535459,0.000039
1004,回归基本功,1046,炼狱龙魂,0.525085,0.000369
1098,急急小子,2010,双发快射,0.45781,0.000029
1036,火上浇油,1107,接二连三,0.495896,0.001446
1006,利刃华尔兹,1133,魔法飞弹,0.451773,0.000224
1037,急救用具,1424,???,0.486255,0.00002
1060,海洋龙魂,1107,接二连三,0.480965,0.000208
1080,会心防御,1327,坚若磐石,0.44493,0.000032
1052,闪电打击,1187,闪光弹,0.470106,0.000062
1079,战争交响乐,1353,坦克引擎,0.478318,0.000589
1136,扇巴掌,1154,任务：海牛阿福的勇士,0.480683,0.000106
1414,卡皮巴拉空投,1421,舞会女王,0.459921,0.000008
1063,狂徒豪气,1070,无休回复,0.541224,0.000159
1029,虚幻武器,1095,风语者的祝福,0.457543,0.000103
1151,面包和奶酪,1415,双生火焰,0.479407,0.000153
1048,珠光护手,1077,灵魂虹吸,0.500345,0.003058
1136,扇巴掌,1237,质变：黄金阶,0.504371,0.000458
1013,星界躯体,1314,强力护盾,0.462845,0.000339
1022,灵巧,1030,尤里卡,0.470196,0.000179
1118,会心治疗,1334,升级：雪球,0.458795,0.000276
1095,风语者的祝福,1198,圣火,0.505078,0.000305
1047,关键暴击,1133,魔法飞弹,0.468408,0.000528
1129,神射法师,1416,海克斯科技龙魂,0.471036,0.000104
1025,俯冲轰炸,1328,暴击律动,0.480766,0.000122
1081,踢踏舞,1346,吸血习性,0.547564,0.002888
1013,星界躯体,1085,折磨者,0.469359,0.000519
1013,星界躯体,1205,物理转魔法,0.465107,0.000493
1023,魔鬼之舞,1375,吞噬灵魂,0.490161,0.000203
1050,基石法师,1332,不祥契约,0.483567,0.000188
1347,吵闹鬼,1358,弹球,1,0
1156,任务：沃格勒特的巫师帽,1319,升级：献祭,0.4576,0.000031
1067,古式佳酿,1073,暗影疾奔,0.534671,0.000433
1332,不祥契约,1390,超凡邪恶,0.483467,0.000584
1334,升级：雪球,1397,地狱三头犬,0.452139,0.000061
1082,残暴之力,1349,终极唤醒,0.461454,0.000211
1042,恶趣味,1047,关键暴击,0.442301,0.000034
1314,强力护盾,1347,吵闹鬼,0.428846,0.00001
1332,不祥契约,2008,负重爆气,0.469508,0.000159
1069,退敌力场,1301,神圣干预,0.439469,0.000061
1052,闪电打击,1375,吞噬灵魂,0.469415,0.000087
1220,连拨击锤,1330,活力再生,0.444617,0.000236
1038,有始有终,1220,连拨击锤,0.468877,0.000284
1116,闪现向前,1315,快中求稳,0.504329,0.000039
1002,尖端发明家,1250,一板一眼,0.437423,0.000236
1032,裁决使,1388,无限循环往复,0.480486,0.001283
1054,物法皆修,1098,急急小子,0.443707,0.00007
1152,任务：钢化你心,1310,小丑学院,0.486349,0.000439
1308,火狐,1361,任务：艾卡西亚的陷落,0.554517,0.000074
1029,虚幻武器,1052,闪电打击,0.49159,0.000618
1015,死亡之环,1347,吵闹鬼,0.446728,0.000018
1086,精准奇才,2008,负重爆气,0.462499,0.00014
1011,你摸不到,1082,残暴之力,0.452347,0.000138
1085,折磨者,1316,刃下生风,0.433288,0.000009
1095,风语者的祝福,1187,闪光弹,0.449174,0.000009
1391,红包,2004,信念者的强化,0.503861,0.000029
1028,侵蚀,1087,台风,0.491812,0.000128
0,无符文,1341,帽上加帽,0.569262,0.020954
1319,升级：献祭,1406,祖母的辣椒油,0.518855,0.000287
1170,万用瞄准镜,1403,属性叠属性！,0.531215,0.000096
1082,残暴之力,1353,坦克引擎,0.477667,0.000632
1154,任务：海牛阿福的勇士,1390,超凡邪恶,0.47789,0.000136
1194,精怪魔法,1243,质变：混沌,0.476834,0.000162
1187,闪光弹,2010,双发快射,0.494297,0
1180,超强大脑,1243,质变：混沌,0.492754,0.000251
1028,侵蚀,1391,红包,0.557166,0.000178
1092,易损,1384,捐赠,0.520756,0.000345
1134,亮出你的剑,1424,???,0.501203,0.000004
1075,慢炖,1421,舞会女王,0.507986,0.000058
1006,利刃华尔兹,1150,面包和果酱,0.443789,0.000166
1198,圣火,12317,潘朵拉的盒子,0.480263,0
1060,海洋龙魂,1339,激光治疗,0.476142,0.000038
1195,巨人杀手,1324,蛋白粉奶昔,0.501769,0.000094
1036,火上浇油,2024,由暴生急,0.447019,0.000059
1214,旋转至胜,1402,属性叠属性叠属性！,0.53899,0.000013
1015,死亡之环,1026,唯快不破,0.472606,0.000021
1006,利刃华尔兹,1170,万用瞄准镜,0.455163,0.000234
1022,灵巧,1424,???,0.46077,0.000025
1115,最万用的瞄准镜,1339,激光治疗,0.414425,0.000007
1044,冰寒,1187,闪光弹,0.460541,0.000017
1076,天音爆,1220,连拨击锤,0.449028,0.000013
1080,会心防御,1322,罪恶快感,0.502465,0.000389
1044,冰寒,1384,捐赠,0.524373,0.000469
1020,黎明使者的坚决,1353,坦克引擎,0.502948,0.001747
1133,魔法飞弹,1322,罪恶快感,0.471416,0.000702
1195,巨人杀手,1405,速度恶魔,0.532951,0.000941
1087,台风,2024,由暴生急,0.447169,0.000072
1076,天音爆,2003,魄罗之王的弹跳,0.467077,0.000007
1325,玻璃大炮,1424,???,0.431321,0.000003
1316,刃下生风,2024,由暴生急,0.454673,0.000024
0,无符文,1036,火上浇油,0.585732,0.019496
1388,无限循环往复,1421,舞会女王,0.519133,0.000032
1356,暴击飞弹,2001,当心小蛋糕！,0.521266,0.000083
1328,暴击律动,1334,升级：雪球,0.456184,0.000068
1092,易损,1237,质变：黄金阶,0.500316,0.000439
1019,全凭身法,1060,海洋龙魂,0.504618,0.0002
1181,重量级打击手,1406,祖母的辣椒油,0.505902,0.00028
1996,升级：耀光,2024,由暴生急,0.481959,0.000098
1023,魔鬼之舞,1141,全心为你,0.433083,0.000004
1095,风语者的祝福,1116,闪现向前,0.465599,0.000011
1141,全心为你,1400,最终都市列车,0.457927,0.000022
1405,速度恶魔,1416,海克斯科技龙魂,0.491574,0.000103
1151,面包和奶酪,1346,吸血习性,0.514751,0.001592
1413,和我一起困在这里,2024,由暴生急,0.437397,0.000004
1052,闪电打击,1349,终极唤醒,0.454264,0.000158
1104,仆从大师,1342,雪球扭蛋机,0.484203,0.000017
1088,终极刷新,1118,会心治疗,0.44202,0.000204
1170,万用瞄准镜,1347,吵闹鬼,0.466464,0.000066
1220,连拨击锤,1386,转得我眩晕了,0.406598,0.000003
1141,全心为你,1195,巨人杀手,0.489905,0.000081
1305,练腿日,1353,坦克引擎,0.504839,0.001098
1061,回力OK镖,1107,接二连三,0.457919,0.000118
1018,巨像的勇气,1022,灵巧,0.458543,0.000043
1068,循环往复,1088,终极刷新,0.469525,0.000396
1390,超凡邪恶,1413,和我一起困在这里,0.465813,0.000049
1150,面包和果酱,1392,神圣雪球,0.429797,0.000027
1013,星界躯体,1328,暴击律动,0.473691,0.000062
1138,渴血,1340,升级：米凯尔的祝福,0.466874,0.000007
0,无符文,1332,不祥契约,0.570975,0.008016
1313,作弊：我能回城！,1392,神圣雪球,0.444715,0.000044
1154,任务：海牛阿福的勇士,1322,罪恶快感,0.504389,0.000228
1346,吸血习性,1388,无限循环往复,0.51793,0.001545
1041,歌利亚巨人,2006,飞身踢,0.527665,0.000626
1320,升级：收集者,1321,砍伤,0.470019,0.000163
1316,刃下生风,1397,地狱三头犬,0.457989,0.00007
1032,裁决使,1036,火上浇油,0.467525,0.001032
1011,你摸不到,1136,扇巴掌,0.456914,0.000106
1104,仆从大师,1316,刃下生风,0.472364,0.000017
1045,炼狱导管,2007,你肩上的恶魔,0.455208,0.000033
1028,侵蚀,1356,暴击飞弹,0.516653,0.00004
1301,神圣干预,2009,狂热者,0.477706,0.000054
1045,炼狱导管,1141,全心为你,0.457566,0.000099
1092,易损,1403,属性叠属性！,0.536779,0.000121
1051,点亮他们！,1066,量子计算,0.459101,0.000051
1030,尤里卡,1108,自我毁灭,0.502409,0.000295
1038,有始有终,1045,炼狱导管,0.540402,0.001438
1082,残暴之力,2010,双发快射,0.473192,0.000128
1085,折磨者,1411,升级：荆棘之甲,0.517866,0.000045
1103,面包和黄油,1204,叠角龙,0.529997,0.000051
1036,火上浇油,1141,全心为你,0.443819,0.000026
1345,心灵净化,1404,属性！,0.501797,0.000094
1220,连拨击锤,1225,双刀流,0.505226,0.001091
1066,量子计算,1092,易损,0.465069,0.000133
1007,大力,1391,红包,0.588884,0.00023
12317,潘朵拉的盒子,1416,海克斯科技龙魂,0.49969,0
1069,退敌力场,1138,渴血,0.464631,0.000169
1330,活力再生,1418,砸开那颗蛋,0.391304,0
1335,夺金,1356,暴击飞弹,0.517186,0.000046
1084,穿针引线,1379,未知符文_1379,0.423988,0.000003
1054,物法皆修,1069,退敌力场,0.425757,0.000052
1011,你摸不到,1037,急救用具,0.434304,0.000043
1345,心灵净化,1397,地狱三头犬,0.447474,0.000203
1079,战争交响乐,1391,红包,0.543204,0.000248
1054,物法皆修,1225,双刀流,0.531686,0.000341
1092,易损,1194,精怪魔法,0.478154,0.000187
1180,超强大脑,1338,升级：狂妄,0.435371,0.000015
1095,风语者的祝福,1206,魔法转物理,0.473055,0.000029
1243,质变：混沌,1347,吵闹鬼,0.468861,0.000139
1317,升级：弯刀,1347,吵闹鬼,0.396226,0.000001
1052,闪电打击,1390,超凡邪恶,0.48083,0.000224
1079,战争交响乐,1335,夺金,0.473527,0.000035
1198,圣火,1214,旋转至胜,0.494721,0.000021
1092,易损,1326,夜狩,0.45633,0.00034
1092,易损,1392,神圣雪球,0.449219,0.000038
1026,唯快不破,1361,任务：艾卡西亚的陷落,0.520345,0.000007
1080,会心防御,1411,升级：荆棘之甲,0.516125,0.000013
1301,神圣干预,2008,负重爆气,0.486862,0.000149
1316,刃下生风,2001,当心小蛋糕！,0.534407,0.000083
1054,物法皆修,1061,回力OK镖,0.44475,0.000061
1047,关键暴击,1077,灵魂虹吸,0.488343,0.000741
1105,家园卫士,1328,暴击律动,0.527432,0.000341
1092,易损,1330,活力再生,0.475157,0.00012
1313,作弊：我能回城！,1379,未知符文_1379,0.451837,0.000003
1079,战争交响乐,1344,最终形态,0.491001,0.000242
1339,激光治疗,1353,坦克引擎,0.469256,0.00011
1321,砍伤,1409,魄罗爆破手,0.466414,0.000062
1047,关键暴击,2007,你肩上的恶魔,0.428791,0.000023
1035,感受燃烧,1118,会心治疗,0.482454,0.000213
1238,质变：棱彩阶,1392,神圣雪球,0.497255,0.00008
1151,面包和奶酪,1418,砸开那颗蛋,0.506994,0.000006
1152,任务：钢化你心,1328,暴击律动,0.444149,0.000127
1057,山脉龙魂,1060,海洋龙魂,0.489205,0.000157
1080,会心防御,1323,残忍,0.464481,0.000037
1311,溢流,1331,至高天诺言,0.470319,0.000085
1088,终极刷新,2010,双发快射,0.450977,0.000033
1015,死亡之环,1108,自我毁灭,0.490048,0.000141
1250,一板一眼,1413,和我一起困在这里,0.438471,0.000016
1004,回归基本功,1319,升级：献祭,0.502397,0.000081
1116,闪现向前,1314,强力护盾,0.452166,0.000018
1019,全凭身法,1138,渴血,0.497183,0.001013
1029,虚幻武器,1332,不祥契约,0.480616,0.000205
1075,慢炖,2005,扳机炼狱,0.468636,0.000017
1156,任务：沃格勒特的巫师帽,1384,捐赠,0.533652,0.000408
1330,活力再生,1331,至高天诺言,0.423739,0.000001
1149,不动如山,1389,男爵之手,0.494735,0.000007
1344,最终形态,1400,最终都市列车,0.528606,0.000258
1047,关键暴击,1087,台风,0.475671,0.000451
1346,吸血习性,2007,你肩上的恶魔,0.469882,0.000235
1080,会心防御,2003,魄罗之王的弹跳,0.475412,0.000015
1348,闪闪现现,1391,红包,0.522297,0
1086,精准奇才,1305,练腿日,0.482233,0.000075
1072,炽烈黎明,1088,终极刷新,0.459471,0.00006
1064,坚韧,1152,任务：钢化你心,0.495609,0.003773
